candidate_id,source_id,source_file,page_start,page_end,chunk_type,suggested_question_type,generated_question,generated_answer,evidence_quote,warnings,review_status,final_question,final_answer,final_question_type,reviewer_notes
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::a2021154fd21,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,3,3,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for this issue on the ABB motor?,"General safety regulations, specific agreements made for each work site and safety precautions shown in this document must be observed at all times.","General safety regulations, specific agreements made for each work site and safety precautions shown in this
document must be observed at all times.
NOTE: If there are any conflicts between these safety instructions and the user manual, these
safety instructions prevail.",vague_subject_in_question; heading_like_question_subject,,,,,
abb_manual_for_induction_motors_and_generators_en::definition_or_component_lookup::17c6c30e6b46,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,5,5,safety_and_constraint,definition_or_component_lookup,What does terminal refer to on the ABB motor?,voltage to the terminals.,"voltage to the terminals.
The induced voltage is proportional to the rotational speed, and can be hazardous even at low speeds. Prevent any
rotation of the shaft before opening the terminal box and/or working at the unprotected terminals.
WARNING: The terminals of a machine with frequency converter supply may be energized even when",definition_fallback_candidate; short_generated_answer,,,,,
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::1ab3ee3b2662,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,16,16,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 1.4.1 Documentation of the machine on the ABB motor?,1.4.1 Documentation of the machine It is recommended that the documentation of the machines is studied carefully before any actions are taken.,"1.4.1 Documentation of the machine
It is recommended that the documentation of the machines is studied carefully before any actions are taken. This
manual and safety instructions are delivered with each machine and is located in a plastic cover attached on the
machine frame.",,,,,,
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::4d524496038e,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,26,26,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 2.4.1 Check upon arrival on the ABB motor?,The machine and the package must be inspected immediately upon arrival.,"The machine and the package must be inspected immediately upon arrival. Any transport damage must be
photographed and reported immediately, i.e. within less than one (1) week after arrival, if the transport insurance is
to be claimed. It is, therefore, important that evidence of careless handling is checked and reported immediately to
the transport company and the supplier. Use checklists in Appendix Commissioning re",,,,,,
abb_manual_for_induction_motors_and_generators_en::troubleshooting_step::f0eae4a77efd,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,34,34,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot INSTALLATION AND ALIGNMENT 34 on the ABB motor?,"• Clean the shaft extension of its anti-corrosive coating, and check the measurements of the extension and the coupling against the provided drawings.","• Clean the shaft extension of its anti-corrosive coating, and check the measurements of the extension and the
coupling against the provided drawings. Ensure also that the keyways in the coupling and the shaft extension
are clean and free from burrs.
• Coat the shaft extension and hub bore with a thin layer of oil as to facilitate the mounting of the coupling half.
Never coat mating surfaces with molybdenum disulphid",,,,,,
abb_manual_for_induction_motors_and_generators_en::troubleshooting_step::4cadaa9a7edf,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,45,45,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot 1 Radial alignment on the ABB motor?,Figure 26 Alignment check with gauges 4.,"Figure 26 Alignment check with gauges
4. Measure and note readings for parallel, angular and axial misalignment in four different positions: top, bottom,
right and left, i.e. every 90°, while both shafts are turned simultaneously. The readings are recorded.
5. Align the machine vertically by turning the jacking screws or by jacking with hydraulic jacks. To facilitate the
alignment in the vertical plane, jacking screw",,,,,,
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::38e74c0b0715,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,58,58,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 5.5.1 General on the ABB motor?,fetime of the winding.,"fetime of the winding. Therefore, thorough
consideration should be made when deciding the temperature trip and alarm levels for the winding.
5.5.2.2 Resistance temperature detectors
Recommended maximum temperature settings:",short_generated_answer,,,,,
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::76b65b2ae938,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,58,58,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 5.5.1 General on the ABB motor?,"NOTE: In case the machine trips, the reason must be found and eliminated before the machine is restarted.","NOTE: In case the machine trips, the reason must be found and eliminated before the machine
is restarted. In case of an alarm, find the reason and correct the situation. Use the trouble
shooting guide, see Chapter 8.1 Trouble shooting.
Following note for rotor type: Permanent magnet rotor",,,,,,
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::071e65158851,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,65,65,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 6.1 General on the ABB motor?,NOTE: The safety precautions shown in Safety Instructions must be observed at all times.,"NOTE: The safety precautions shown in Safety Instructions must be observed at all times.
6.3 Number of starts
The number of allowed consecutive starts of direct on line supplied machines depends essentially on the load
characteristics (torque curve vs. rotational speed, inertia), and on the machine type and design. Too many and/or too",,,,,,
abb_manual_for_induction_motors_and_generators_en::symptom_cause::dcee2642d357,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,78,78,alarm_fault_code,symptom_cause,What could cause C/D on the ABB motor?,of ALARMS and TRIPS.,"of ALARMS and TRIPS.
Table 8 Initial ALARM and TRIP vibration velocity values for bearing housing vibration in mm/s r.m.s. shows the
initial ALARM and TRIP values for machines based on experience with similar machines. After a period of time the
steady-state baseline value on-site will be established and the ALARM setting should be adjusted accordingly (see
ISO 100816-3).",short_generated_answer; likely_table_broken,,,,,
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::89f91c5c1d95,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,86,86,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 7.6.1 Particular safety instructions for winding maintenance on the ABB motor?,"Some of the hazardous works of the winding maintenance include: • Handling of hazardous solvents, varnishes, and resins.","Some of the hazardous works of the winding maintenance include:
• Handling of hazardous solvents, varnishes, and resins. Hazardous substances are required for cleaning and re-
varnishing windings. These substances can be dangerous if inhaled, swallowed or in any contact with skin or
other organs. Seek proper medical care if an accident occurs.",,,,,,
abb_manual_for_induction_motors_and_generators_en::symptom_cause::2353ea1d4853,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,94,94,alarm_fault_code,symptom_cause,What could cause 7.7.4.5 Carbon dust on the ABB motor?,approach the alarm level.,"approach the alarm level.
If a filter differential pressure monitoring system is being used, the filters should be changed immediately after
a pressure alarm. The alarm level is such that 50% of the air filter surface is obstructed. The operating personnel
should also manually inspect the filters frequently.
Remove the air filters for cleaning. If the surrounding air is sufficiently clean, the filters can be changed",short_generated_answer,,,,,
abb_manual_for_induction_motors_and_generators_en::troubleshooting_step::700c420e1250,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,104,104,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot Observed on the ABB motor?,"• Overload Control system setting Check machine controls, eliminate overload • Overspeed Check actual speed and ABB speed recommendations • Network unbalance Check that network balance fulfils requirements","• Overload Control system setting Check machine controls, eliminate overload
• Overspeed Check actual speed and ABB speed
recommendations
• Network unbalance Check that network balance fulfils
requirements",heading_like_question_subject,,,,,
abb_manual_for_induction_motors_and_generators_en::troubleshooting_step::fc1037e02f62,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,112,112,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot 8.4.2 Brush sparking on the ABB motor?,"Always check the following: • Before starting the motor, the linear actuator auxiliary box must be electrically connected and its adjustments checked.","Always check the following:
• Before starting the motor, the linear actuator auxiliary box must be electrically connected and its adjustments
checked. When the cables are connected according to the manual, the function of the linear actuator and
proximity sensors can and must be checked without starting the motor.
• Verify the brushes are in good condition and that they can move freely in the brush holders.",,,,,,
abb_manual_for_induction_motors_and_generators_en::symptom_cause::c754f7398127,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,129,129,alarm_fault_code,symptom_cause,What could cause Bearing oil: Manufacturer:__________________ Type:_________________________ on the ABB motor?,"Earth fault setting: no yes, setting: Reverse power setting: no yes, setting: Differential protection setting: no yes, setting: Vibration monitoring: no yes, alarm:__________mm/s, trip:______________mm/s Temperature monitoring: - in stator","Earth fault setting: no yes, setting:
Reverse power setting: no yes, setting:
Differential protection setting: no yes, setting:
Vibration monitoring: no yes, alarm:__________mm/s, trip:______________mm/s
Temperature monitoring: - in stator",,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::safety_or_constraint::ea7520ef13bf,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,5,5,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 2.4 Radio communication on the Grundfos pump?,WARNING Falling objects Death or serious personal injury - Secure the product during tr ansportation to prevent,"WARNING
Falling objects
Death or serious personal injury
- Secure the product during tr ansportation to prevent",likely_table_broken,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::symptom_cause::4236efba7f3c,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,14,14,alarm_fault_code,symptom_cause,What could cause 8.1.1 Pump in differential-pressure control mode on the Grundfos pump?,8.1.4 Resetting of fault indications Reset a fault indication in one of the following ways: • Via the digital input if it has been set to Alarm resetting . • Briefly press or on the pump. This does not change the setting of the pump.,"8.1.4 Resetting of fault indications
Reset a fault indication in one of the following ways:
• Via the digital input if it has been set to Alarm resetting .
• Briefly press or on the pump. This does not change the
setting of the pump.",,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::definition_or_component_lookup::af6fb52f88f6,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,30,30,parameter_and_configuration,definition_or_component_lookup,What does pump refer to on the Grundfos pump?,"Flow Pump flow Flow, external Temperature Temperature 1 Temperature 2 If you want to use the control mode ""constant differential pressure"", y ou must choose the function","Flow Pump flow Flow, external
Temperature Temperature 1 Temperature 2
If you want to use the control mode ""constant
differential pressure"", y ou must choose the function",definition_fallback_candidate,,,,,
