candidate_id,source_id,source_file,page_start,page_end,chunk_type,suggested_question_type,generated_question,generated_answer,evidence_quote,warnings,review_status,final_question,final_answer,final_question_type,reviewer_notes
batch2::cross_doc_multi::ce9f24d22832,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,5,75,cross_doc_multi,cross_doc_multi,"When comparing the ABB motor and PowerFlex 520-series drive manuals, what common cause or symptom pattern appears across both documents?","Both documents point to related evidence: WARNING: Magnetic stray fields, caused by an open or disassembled permanent magnet synchronous machine or by a separate rotor of such a mach / Fault 2 Current F642 Fault 3 Current F643 Fault 4 Current F644 Fault 5 Current F645 Fault 6 Current","WARNING: Magnetic stray fields, caused by an open or disassembled permanent magnet synchronous
machine or by a separate rotor of such a machine, may disturb or damage other electrical
or electromagnetic equipment and components, such as cardiac pacemakers, credit cards
and equivalent.
WARNING: Loose metallic parts and waste must be prevented from entering the interior of the

Fault 2 Current F642
Fault 3 Current F643
Fault 4 Current F644
Fault 5 Current F645
Fault 6 Current",likely_table_broken; answer_not_exact_substring_of_evidence,,,,,
batch2::abstention_insufficient_evidence::e2a8ccc5b4a2,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,7,7,safety_and_constraint,abstention_insufficient_evidence,Can I confirm that the ABB motor is safe to restart right now without现场 inspection or live electrical measurements?,"The available manual evidence is not sufficient to answer reliably; this question needs live operating data, site-specific conditions, or external diagnostics.",,short_evidence_quote; answer_not_exact_substring_of_evidence,,,,,
batch2::safety_or_constraint::bd335c85c2c3,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,9,9,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for National Electric Code (NEC) on the ABB motor?,WARNING: Disconnect power and lock out the power switch before working on the machine or the driven equipment. Ensure that no explosive atmosphere is present while work is in progress. Special conditions,"WARNING: Disconnect power and lock out the power switch before working on the machine or
the driven equipment. Ensure that no explosive atmosphere is present while work is in
progress.
Special conditions",,,,,,
batch2::safety_or_constraint::9e28d7a41323,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,10,10,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for National Electric Code (NEC) on the ABB motor?,condensation heaters must be interlocked in such a way that they can only be energized when the motor is de-energized.,"condensation heaters must be interlocked in such a way that they can only be energized when the
motor is de-energized.
Pre-start ventilation
• Ex ec, Ex eb, Ex nA and Ex e machines may, or in some cases have to, be equipped with a provision for pre-start",,,,,,
batch2::safety_or_constraint::241a66a0d5e8,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,16,16,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 1.4.1 Documentation of the machine on the ABB motor?,foundation • Location of lifting eyes of the machine • Instrumentation and location of accessories • Bearing oil and lubricant requirements,"foundation
• Location of lifting eyes of the machine
• Instrumentation and location of accessories
• Bearing oil and lubricant requirements",,,,,,
batch2::safety_or_constraint::08462c0b6ef6,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,30,30,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for TRANSPORT AND UNPACKING 30 on the ABB motor?,"The storage period, taken precautions and measurements, including dates, should be recorded. For relevant check- lists, see Appendix Commissioning report.","The storage period, taken precautions and measurements, including dates, should be recorded. For relevant check-
lists, see Appendix Commissioning report.",,,,,,
batch2::troubleshooting_step::11fd028e9e58,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,34,34,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot INSTALLATION AND ALIGNMENT 34 on the ABB motor?,INSTALLATION AND ALIGNMENT 34 without damaging the bearings.,"INSTALLATION AND ALIGNMENT 34
without damaging the bearings. The expected axial thermal expansion of the rotor can be calculated as defined in
the Chapter 3.6.4 Correction for thermal expansion.
Following paragraph for mounting type: Vertical
Vertical machines may be designed to carry some load from the shaft of the driven machine. If this is the case, the",,,,,,
batch2::troubleshooting_step::53a02851509e,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,34,34,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot INSTALLATION AND ALIGNMENT 34 on the ABB motor?,bearing with axial float The sleeve bearing construction allows the rotor to move axially between the mechanical end float limits.,"bearing with axial float
The sleeve bearing construction allows the rotor to move axially between the mechanical end float limits. Standard
bearings cannot withstand any axial forces from the driven machine. Any axial force from the load will cause bearing
damage. Therefore, all axial forces must be carried by the driven machine and the coupling must be of limited axial",,,,,,
batch2::troubleshooting_step::01cc5fb0abd0,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,45,45,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot 1 Radial alignment on the ABB motor?,7.,"7. Fit the solid blocks or shims under the machine feet. Slacken the jacking screws and tighten the fixing bolts.
8. Check the alignment again. Make corrections if necessary.
9. Draw up a record for future checks.
10. Re-tighten nuts and lock the nuts by tack welds or hitting sufficiently hard with a center punch.
11. Dowel the feet of the machine for easy future re-installation of the machine, see Chapter 3.4.7.1 Do",short_generated_answer,,,,,
batch2::troubleshooting_step::9d7cf5fb7303,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,51,51,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot 4.2.7 Roller bearing oil mist supply on the ABB motor?,Machines with oil mist lubrication are equipped with pipe connectors.,"Machines with oil mist lubrication are equipped with pipe connectors. Connect the oil circulating units.
Install the oil supply system near the machine. Before connecting the pipes to the bearings, test the oil supply system
by flowing rinsing oil through it. After this, remove the oil filter and clean it.
Install and connect the oil inlet and outlet pipes to the bearings.
NOTE: Do not drill holes through the frame d",,,,,,
batch2::abstention_insufficient_evidence::ab5325e8ebf8,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,58,58,safety_and_constraint,abstention_insufficient_evidence,Can I confirm that the ABB motor is safe to restart right now without现场 inspection or live electrical measurements?,"The available manual evidence is not sufficient to answer reliably; this question needs live operating data, site-specific conditions, or external diagnostics.",,short_evidence_quote; answer_not_exact_substring_of_evidence,,,,,
batch2::abstention_insufficient_evidence::66af431f0777,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,59,59,safety_and_constraint,abstention_insufficient_evidence,What exact values for relay settings are informed in the document value should I apply on the ABB motor for my current现场 condition if the manual does not include the needed operating data?,"The available manual evidence is not sufficient to answer reliably; this question needs live operating data, site-specific conditions, or external diagnostics.",,short_evidence_quote; answer_not_exact_substring_of_evidence,,,,,
batch2::cross_doc_multi::465fe5dd7920,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,59,144,cross_doc_multi,cross_doc_multi,"When comparing the ABB motor and PowerFlex 520-series drive manuals, what common cause or symptom pattern appears across both documents?",Both documents point to related evidence: recommended to apply the method described in Chapter 5.5.1 General when setting the temperature alarm. / ault.,"recommended to apply the method described in Chapter 5.5.1 General when setting the temperature alarm.
5.5.3.3 Thermistors
If the rolling bearings are equipped with thermistors (PTC), the operating temperature of the thermistors is found on
the Connection Diagram. The operating function can be chosen to be an alarm or a trip signal. If the rolling bearings
are equipped with two thermistors, both alarm and trip signal

ault. The codes appear in these parameters in the order that they occur (b007 [Fault 1 Code] = the most recent fault). Repetitive faults are
only recorded once.
Values
Default: Read Only
Min/Max: F0/F127",likely_table_broken; answer_not_exact_substring_of_evidence,,,,,
batch2::symptom_cause::854672fc8591,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,60,60,alarm_fault_code,symptom_cause,What could cause COMMISSIONING AND START-UP 60 on the ABB motor?,"• The starting, control, protection, and alarm relays of each device are inspected.","• The starting, control, protection, and alarm relays of each device are inspected.
• The insulation resistance of the windings and other equipment verified.
• The machine covers are assembled, and the shaft seals are tightly fitted in.
• The machine and the environment are cleaned.
Following bullet for protection type: Ex p",,,,,,
batch2::troubleshooting_step::e0024267a82d,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,62,62,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot 5.7.3.1 Machines with rolling bearings on the ABB motor?,ease portions (3-10 times amount mentioned at the lubrication plate). NOTE: The re-lubrication interval will never be longer than 12 months. The type of original grease used is found on the bearing plate on the machine. Acceptable types of grease can be,"ease portions (3-10 times amount mentioned at the
lubrication plate).
NOTE: The re-lubrication interval will never be longer than 12 months.
The type of original grease used is found on the bearing plate on the machine. Acceptable types of grease can be",,,,,,
batch2::symptom_cause::44162bc27e41,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,63,63,alarm_fault_code,symptom_cause,What could cause 5.7.3.2 Machines with sleeve bearings on the ABB motor?,"For recommended settings for alarm and trip levels, see the main connection diagram.","For recommended settings for alarm and trip levels, see the main connection diagram.
Following chapter for cooling type: Air-to-air and air-to-water
5.7.6 Heat exchangers
Prior to start, check that the connections are tight and there is no leakage in the system. After running the machine
for some time, the cooling system should be checked. Verify that the cooling fluid, where applicable, and air is",,,,,,
batch2::troubleshooting_step::2e456cf1d205,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,76,76,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot V V V V Condition on the ABB motor?,"nditions Measurement equipment The measurement equipment shall be capable of measuring broad-band r.m.s. vibration with flat response over a frequency range of at least 10 Hz to 1 000 Hz, in accordance with the requirements of ISO 2954. Depending on the","nditions
Measurement equipment
The measurement equipment shall be capable of measuring broad-band r.m.s. vibration with flat response over a
frequency range of at least 10 Hz to 1 000 Hz, in accordance with the requirements of ISO 2954. Depending on the",,,,,,
batch2::symptom_cause::75e25d678e86,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,78,78,alarm_fault_code,symptom_cause,What could cause C/D on the ABB motor?,Part 3: Coupled industrial machine.,"Part 3: Coupled industrial machine. Initial ALARM and TRIP values for shaft vibrations vary between machine types
and should be asked from the factory.
7.5 Maintenance of bearings and lubrication system
This chapter covers the most important maintenance tasks in the bearings and in the lubrication system.
Following chapters for bearing type: Sleeve bearing",,,,,,
