candidate_id,source_id,source_file,page_start,page_end,chunk_type,suggested_question_type,generated_question,generated_answer,evidence_quote,warnings,review_status,final_question,final_answer,final_question_type,reviewer_notes
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::a2021154fd21,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,3,3,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for this issue on the ABB motor?,"General safety regulations, specific agreements made for each work site and safety precautions shown in this document must be observed at all times.","General safety regulations, specific agreements made for each work site and safety precautions shown in this
document must be observed at all times.
NOTE: If there are any conflicts between these safety instructions and the user manual, these
safety instructions prevail.",vague_subject_in_question; heading_like_question_subject,revise,What general safety requirements must be followed when working on the ABB motor?,"General safety regulations, work-site-specific agreements, and the safety precautions in the document must always be observed. If these safety instructions conflict with the user manual, the safety instructions prevail.",safety_or_constraint,原问题 this issue 过于模糊；证据充分，建议改成通用安全要求。
abb_manual_for_induction_motors_and_generators_en::definition_or_component_lookup::17c6c30e6b46,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,5,5,safety_and_constraint,definition_or_component_lookup,What does terminal refer to on the ABB motor?,voltage to the terminals.,"voltage to the terminals.
The induced voltage is proportional to the rotational speed, and can be hazardous even at low speeds. Prevent any
rotation of the shaft before opening the terminal box and/or working at the unprotected terminals.
WARNING: The terminals of a machine with frequency converter supply may be energized even when",definition_fallback_candidate; short_generated_answer,revise,What must be done before opening the terminal box or working at unprotected terminals on the ABB motor?,"Prevent any rotation of the shaft before opening the terminal box or working at unprotected terminals, because induced voltage can be hazardous even at low speeds.",safety_or_constraint,原问题误判为 definition；应改为安全操作约束。
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::1ab3ee3b2662,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,16,16,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 1.4.1 Documentation of the machine on the ABB motor?,1.4.1 Documentation of the machine It is recommended that the documentation of the machines is studied carefully before any actions are taken.,"1.4.1 Documentation of the machine
It is recommended that the documentation of the machines is studied carefully before any actions are taken. This
manual and safety instructions are delivered with each machine and is located in a plastic cover attached on the
machine frame.",,revise,What should be done before taking any action on an ABB machine?,The machine documentation should be studied carefully before any actions are taken. The manual and safety instructions are delivered with each machine and are located in a plastic cover attached to the machine frame.,safety_or_constraint,原问题带有章节标题，表达不自然；证据充分，改成文档阅读前置要求。
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::4d524496038e,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,26,26,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 2.4.1 Check upon arrival on the ABB motor?,The machine and the package must be inspected immediately upon arrival.,"The machine and the package must be inspected immediately upon arrival. Any transport damage must be
photographed and reported immediately, i.e. within less than one (1) week after arrival, if the transport insurance is
to be claimed. It is, therefore, important that evidence of careless handling is checked and reported immediately to
the transport company and the supplier. Use checklists in Appendix Commissioning re",,revise,What should be checked immediately when an ABB machine arrives?,"The machine and package must be inspected immediately upon arrival. Any transport damage should be photographed and reported immediately, within less than one week, if transport insurance is to be claimed.",safety_or_constraint,原问题章节化；改成到货检查要求，答案与证据一致。
abb_manual_for_induction_motors_and_generators_en::troubleshooting_step::f0eae4a77efd,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,34,34,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot INSTALLATION AND ALIGNMENT 34 on the ABB motor?,"• Clean the shaft extension of its anti-corrosive coating, and check the measurements of the extension and the coupling against the provided drawings.","• Clean the shaft extension of its anti-corrosive coating, and check the measurements of the extension and the
coupling against the provided drawings. Ensure also that the keyways in the coupling and the shaft extension
are clean and free from burrs.
• Coat the shaft extension and hub bore with a thin layer of oil as to facilitate the mounting of the coupling half.
Never coat mating surfaces with molybdenum disulphid",,revise,What should be checked before mounting the coupling half on an ABB motor shaft extension?,"Clean the shaft extension of anti-corrosive coating, check the shaft extension and coupling measurements against the drawings, ensure the keyways are clean and free from burrs, and coat the shaft extension and hub bore with a thin layer of oil.",troubleshooting_step,原问题把页眉/章节当故障；可改为安装对中前的具体操作步骤。
abb_manual_for_induction_motors_and_generators_en::troubleshooting_step::4cadaa9a7edf,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,45,45,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot 1 Radial alignment on the ABB motor?,Figure 26 Alignment check with gauges 4.,"Figure 26 Alignment check with gauges
4. Measure and note readings for parallel, angular and axial misalignment in four different positions: top, bottom,
right and left, i.e. every 90°, while both shafts are turned simultaneously. The readings are recorded.
5. Align the machine vertically by turning the jacking screws or by jacking with hydraulic jacks. To facilitate the
alignment in the vertical plane, jacking screw",,revise,How should radial alignment readings be taken on an ABB motor?,"Measure and record parallel, angular, and axial misalignment in four positions: top, bottom, right, and left, every 90 degrees, while both shafts are turned simultaneously.",troubleshooting_step,原答案截断为图题；证据可支持径向对中读数步骤。
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::38e74c0b0715,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,58,58,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 5.5.1 General on the ABB motor?,fetime of the winding.,"fetime of the winding. Therefore, thorough
consideration should be made when deciding the temperature trip and alarm levels for the winding.
5.5.2.2 Resistance temperature detectors
Recommended maximum temperature settings:",short_generated_answer,revise,What should be considered when setting winding temperature trip and alarm levels on the ABB motor?,"The settings should be chosen with careful consideration of the winding lifetime, and the recommended maximum temperature settings should be followed.",safety_or_constraint,原答案是截断文本；可从证据中修复为温度报警/跳闸设置注意事项。
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::76b65b2ae938,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,58,58,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 5.5.1 General on the ABB motor?,"NOTE: In case the machine trips, the reason must be found and eliminated before the machine is restarted.","NOTE: In case the machine trips, the reason must be found and eliminated before the machine
is restarted. In case of an alarm, find the reason and correct the situation. Use the trouble
shooting guide, see Chapter 8.1 Trouble shooting.
Following note for rotor type: Permanent magnet rotor",,revise,What must be done before restarting an ABB machine after a trip or alarm?,"If the machine trips, the reason must be found and eliminated before restarting. In case of an alarm, find the reason and correct the situation, using the troubleshooting guide if needed.",troubleshooting_step,原问题过泛；改为跳闸/报警后的处理要求，更适合故障排查测试。
abb_manual_for_induction_motors_and_generators_en::safety_or_constraint::071e65158851,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,65,65,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for 6.1 General on the ABB motor?,NOTE: The safety precautions shown in Safety Instructions must be observed at all times.,"NOTE: The safety precautions shown in Safety Instructions must be observed at all times.
6.3 Number of starts
The number of allowed consecutive starts of direct on line supplied machines depends essentially on the load
characteristics (torque curve vs. rotational speed, inertia), and on the machine type and design. Too many and/or too",,revise,What general safety instruction must be observed when working with the ABB motor?,The safety precautions shown in the Safety Instructions must be observed at all times.,safety_or_constraint,原问题使用章节标题；改成通用安全约束。
abb_manual_for_induction_motors_and_generators_en::symptom_cause::dcee2642d357,abb_manual_for_induction_motors_and_generators_en,abb_manual_for_induction_motors_and_generators_en.pdf,78,78,alarm_fault_code,symptom_cause,What could cause C/D on the ABB motor?,of ALARMS and TRIPS.,"of ALARMS and TRIPS.
Table 8 Initial ALARM and TRIP vibration velocity values for bearing housing vibration in mm/s r.m.s. shows the
initial ALARM and TRIP values for machines based on experience with similar machines. After a period of time the
steady-state baseline value on-site will be established and the ALARM setting should be adjusted accordingly (see
ISO 100816-3).",short_generated_answer; likely_table_broken,revise,How should initial alarm and trip vibration values for ABB motor bearing housing vibration be adjusted after operation?,"Initial alarm and trip values are based on experience with similar machines. After an on-site steady-state baseline is established, the alarm setting should be adjusted accordingly.",troubleshooting_step,原问题 C/D 无意义；表格抽取破碎，但证据能支持“报警/跳闸振动值调整”。
